hash_cards,dealer_points,player_points,action,wins,loses
-2736273695983405752,7,7,hit,1079,1812
1679310512376526472,6,4,hit,456,736
7341197678326260264,6,6,hold,222,895
8900584475902158373,1,5,hit,273,1211
-6263949084729814803,2,16,hold,2867,5232
-4280835433083862838,8,13,hold,137,2024
-3750485097037385353,5,15,hold,2452,4786
5882267598057873718,3,17,hold,3104,4075
5465795324273247703,9,11,hit,2592,2319
1894158718507585580,2,21,hold,3615,0
4788479908206517072,5,8,hit,1377,1603
2438116433348175948,5,5,hold,182,823
1392740930289356525,10,2,hit,433,749
-1251622699321834675,3,11,hold,141,955
-3684667106976077499,4,5,hit,547,975
-3356608302212577990,4,7,hit,1010,1498
-7423284449212005694,7,12,hit,3221,6178
-3501873881743649550,4,6,hit,665,1069
668950575199189913,5,21,hold,3737,0
4345359472744038241,5,4,hit,400,707
1438579644422865275,4,19,hit,126,971
5973149857537414196,7,15,hit,2162,5125
-4655524239194784161,2,4,hit,359,600
7923172800433838404,2,10,hit,2157,1929
8852382768389310057,6,13,hit,2963,6324
-1326215163473052551,1,9,hit,900,2625
2352758633287188759,3,3,hit,261,435
4359459501633958431,6,3,hold,28,373
1102491517999919501,8,5,hold,98,803
-4312665696542169931,4,13,hold,191,2074
-7573222973282600909,7,21,hit,0,457
-9111467302364289451,1,21,hold,3416,0
-3835033573683112141,9,6,hit,615,1592
8944015723872622958,2,6,hit,637,1174
-294924754759982936,7,19,hit,87,690
1985087044145481415,2,21,hit,0,431
8915902266911525757,6,6,hit,935,1330
4319939938495154390,8,10,hit,2329,2096
-863819490336055111,6,8,hold,325,1095
1857378928778412111,5,4,hold,79,630
7403113690401315478,1,13,hold,38,2029
8322588125606166353,4,11,hold,116,881
-502946766296395982,6,7,hit,952,1442
-4481314619582245496,2,7,hit,844,1569
6439511074768234153,3,9,hit,1733,1815
-3003935588024283948,8,7,hold,164,1204
-7000846643691599592,9,16,hit,864,3205
4638623135036736520,7,2,hit,105,150
4329866717303948605,2,5,hit,455,939
-3326267197547530608,7,5,hold,90,762
-637136320113821656,1,9,hold,152,1471
-1514044643552823501,4,5,hold,166,827
-9010146122897309029,8,17,hold,1549,4175
7082227946032672881,1,4,hit,127,635
4372137546679801491,9,4,hold,60,637
-3324287667131114161,7,7,hold,107,924
-1358422684328193218,8,4,hold,54,625
642735928107469947,8,2,hold,10,199
104043929597300428,1,6,hold,60,1096
2685221493609221111,8,11,hit,2770,2189
-8569491966565531857,4,3,hit,339,453
2201242164125669368,6,5,hold,75,743
4722343279241822920,7,3,hit,321,492
3459280339656185962,3,5,hold,188,789
-4864828103457763447,6,3,hit,355,472
-4926481711129879553,8,5,hit,567,1181
9095836714854322624,8,7,hit,845,1868
-8646973842274423220,2,8,hold,257,1138
-3328802728089854570,2,11,hold,111,963
-8252212238624197697,8,3,hold,32,415
-3323985771425796047,3,2,hit,112,155
4180989685379512674,2,3,hold,62,377
-2377167470076965238,9,3,hold,38,490
3186038312409405828,4,3,hold,53,469
6763248810686453544,2,4,hold,116,521
-8608189562355924723,2,2,hold,29,186
-76941978880477492,3,4,hold,97,533
-8025981642594382576,2,2,hit,100,154
3969996335897511959,4,2,hit,137,154
953963628683138813,7,4,hit,450,754
8477737086851022321,5,6,hold,193,907
6542042218439559082,6,2,hit,108,163
7127067242099761966,5,3,hit,320,473
5416423217477137215,1,2,hit,20,81
-8532880875562672916,3,3,hold,111,470
3373248734055826207,9,2,hit,91,195
5014912981974707204,3,2,hold,13,203
-8657071807780979709,5,2,hold,14,180
-2797222447680294323,9,2,hold,3,233
-3181490333063998309,1,3,hit,140,396
-5986249080061776774,5,2,hit,107,141
967493641385507106,1,2,hold,0,108
1650621709194964998,7,3,hold,35,388
