hash_cards,dealer_points,player_points,action,wins,loses
871337096998099775,8,8,hit,822,1450
6290838381982662425,8,9,hold,286,1137
-1085716454973813308,8,10,hold,461,1137
-3978623550232836447,1,18,hit,229,1938
-7370931413337160428,7,11,hit,2164,1622
-878491203199445786,6,11,hold,108,784
-6243563498730706248,2,19,hold,4234,1641
-5833561626193909618,5,11,hit,2197,1534
7171313949936400852,5,21,hit,0,407
4705248332668688365,2,9,hit,1240,1525
9196462572092859203,2,15,hit,734,2247
8278908427565005857,9,10,hit,1559,1748
927774254907627552,9,18,hold,2372,3542
4989703194758732466,5,5,hit,477,790
9195171152988897001,8,9,hit,1267,1510
-6731082775573835327,8,19,hold,5442,1055
7169900096853948669,5,3,hold,36,359
-5863222594082385729,8,6,hit,568,1182
-7161107052868124881,5,12,hold,51,1234
839178628964456313,9,7,hold,125,1072
2188805526537905165,3,7,hold,166,850
-4127200359954662280,7,12,hold,53,1389
-6429443958664904131,2,6,hold,183,771
416468597415223302,9,6,hold,97,854
-201908504794505982,8,15,hold,569,2548
-3850508791170544280,5,18,hold,3830,2229
3847560097549366895,6,9,hit,1459,1398
-8512118073041452547,9,3,hit,192,374
-3222828504473576611,5,16,hold,2886,3812
7822810412827824828,4,7,hold,183,866
-5183041355634472534,2,18,hit,151,897
-4959005660417324338,1,10,hold,211,1340
-3658348801310820314,4,2,hold,4,149
-8517796529145079316,1,21,hit,0,532
2906926481532082341,5,10,hit,2013,1616
5553959246163939076,9,9,hit,1078,1800
-8850914021584077712,7,8,hit,1028,1185
1766094021521963349,6,16,hit,544,1480
-3710600827693692646,4,19,hold,4352,1531
8900086525512918285,2,9,hold,291,1126
-7886663828899997732,3,10,hit,1742,1540
-8401544039380381682,10,4,hit,1247,2759
-5951683841220630270,6,19,hold,5026,1436
-5264610871551697301,9,13,hit,1814,4913
1724580647294499336,5,9,hit,1425,1468
-9004637996599901720,5,16,hit,436,1523
-5224959650132733277,4,8,hold,267,899
9215755708181283367,4,17,hold,2823,3213
-4358006731925307114,3,8,hold,282,1067
4497457724879808437,4,4,hold,110,492
-317839058960715741,9,7,hit,582,1461
-501851773108190747,3,6,hold,180,780
5021936878430864253,8,18,hold,2131,1564
6771237211020929057,7,7,hit,811,1378
6687514471827776622,6,4,hit,344,569
1913589401723576898,6,6,hold,186,736
4209459520183062407,1,5,hit,199,947
-3786574183161352299,2,16,hold,2210,4022
-6492190192087871390,8,13,hold,125,1788
-1939570581735760438,5,15,hold,1889,3681
1363763470709149904,3,17,hold,2347,3122
4617168715230688477,9,11,hit,1964,1823
8912073202324529619,2,21,hold,2717,0
-4865743323278552976,5,8,hit,1019,1255
6800368206662672804,5,5,hold,147,691
7658348327449297212,10,2,hit,313,566
-8383114976894201517,3,11,hold,125,850
-1139928148854660884,4,5,hit,392,759
2013858955348009292,4,7,hit,755,1150
5962481865941488085,7,12,hit,2413,4737
4297397819663435436,4,6,hit,514,828
-9116190628658964119,5,21,hold,2847,0
6121336786645095984,5,4,hit,289,541
-989413343055053747,4,19,hit,115,890
-4169146240955490576,7,15,hit,1605,3889
-8118455093432114821,2,4,hit,276,464
1678517718676754470,2,10,hit,1609,1496
-5305378554545321488,6,13,hit,2200,4910
-3233375063621123927,1,9,hit,707,2025
-5960476141416145617,3,3,hit,198,334
-5999292731321073907,6,3,hold,22,327
-6615331661083861346,8,5,hold,85,683
992249409102960400,4,13,hold,172,1835
4073141633420729029,7,21,hit,0,412
4130142691182619080,1,21,hold,2592,0
5203152589679622166,9,6,hit,477,1219
7213332397249630510,2,6,hit,478,893
5372568131129288906,7,19,hit,79,623
-7946574300335741095,2,21,hit,0,388
3885663436760067734,6,6,hit,736,1007
-7059650452766966765,8,10,hit,1754,1618
8890373485736227509,6,8,hold,273,918
7080325149716229043,5,4,hold,65,523
-4008433070935707556,1,13,hold,32,1817
-3667953849489160958,4,11,hold,96,788
5327913733838954283,6,7,hit,689,1114
-1510120316898967848,2,7,hit,643,1189
5919825851940260582,3,9,hit,1315,1411
5641150529366073215,8,7,hold,142,1017
-1461835728910416110,9,16,hit,677,2520
5469147904262728632,7,2,hit,86,116
-7472684460753284154,2,5,hit,348,726
-3236215145512043670,7,5,hold,74,650
2521502288248597115,1,9,hold,125,1234
-3134341681230853240,4,5,hold,141,687
-517017819863732674,8,17,hold,1212,3197
-9093358226618480597,1,4,hit,90,498
9121871118748808663,9,4,hold,50,534
-2957964761160876312,7,7,hold,91,800
7853178654830726040,8,4,hold,50,545
4118305900720779893,8,2,hold,9,163
-8242792018601121591,1,6,hold,45,916
-4877916795151605749,8,11,hit,2104,1692
8836710580552859772,4,3,hit,255,347
-4663091699606239558,6,5,hold,57,652
2274502682033451048,7,3,hit,252,402
-1743592632931778494,3,5,hold,157,641
-8376127083786030380,6,3,hit,245,362
60637519490048674,8,5,hit,413,883
8485172338851814179,8,7,hit,642,1452
-7961035386743214698,2,8,hold,211,959
-8530298914225845418,2,11,hold,95,866
2308176066465959289,8,3,hold,22,352
-8420137397919572903,3,2,hit,89,115
-62606833943346511,2,3,hold,49,318
5689593207512252749,9,3,hold,32,407
-1201665377475361164,4,3,hold,46,394
-6882618883593261007,2,4,hold,97,431
-5928153300556030606,2,2,hold,23,141
4475624749732685604,3,4,hold,78,431
2179976955366605196,2,2,hit,76,121
-2567847858318012231,4,2,hit,97,126
5967292833684482158,7,4,hit,339,589
-8185649059067803493,5,6,hold,161,755
-7237179963617408668,6,2,hit,81,128
1769897793514680603,5,3,hit,249,368
-1972668228270360139,1,2,hit,14,66
699971308395504846,3,3,hold,89,377
8167414076172226284,9,2,hit,69,154
-2523211554982315064,3,2,hold,12,171
-3773691972630148230,5,2,hold,12,149
6519019551172874451,9,2,hold,3,194
4835430859940901551,1,3,hit,102,303
-1466504650381793462,5,2,hit,86,103
3975724232170935536,1,2,hold,0,92
1822378577979312063,7,3,hold,29,325
