Total games played,Session games played,Wins,Loses
44036,47,12,34
44106,70,23,43
44182,76,27,48
44223,41,9,30
44285,62,19,39
44350,65,22,41
44379,29,4,24
44462,83,28,52
44538,76,25,46
44613,75,27,46
44720,107,38,62
44848,128,49,68
44927,79,25,49
44964,37,7,28
45042,78,24,48
45151,109,40,63
45218,67,21,43
45254,36,7,28
45291,37,9,28
45333,42,10,28
45364,31,4,24
45386,22,1,21
45432,46,12,33
45501,69,23,44
45547,46,11,32
45588,41,10,31
45638,50,13,32
45743,105,37,60
45793,50,14,35
45921,128,49,70
45983,62,17,40
46107,124,49,72
46154,47,12,31
46200,46,11,31
46233,33,6,26
46317,84,29,52
46349,32,6,26
46381,32,6,25
46451,70,21,46
46495,44,12,32
46593,98,33,55
46695,102,36,62
46745,50,13,35
46795,50,13,32
46903,108,39,63
46937,34,7,27
46993,56,17,38
47030,37,8,26
47118,88,31,52
47232,114,43,69
47301,69,22,40
47354,53,13,35
47427,73,25,45
47506,79,27,49
47558,52,13,36
47604,46,12,32
47665,61,20,39
47753,88,30,52
47786,33,6,25
47848,62,18,41
47938,90,31,50
47994,56,16,37
48039,45,11,33
48077,38,8,28
48140,63,20,40
48232,92,31,57
48325,93,35,55
48356,31,4,25
48409,53,15,35
48474,65,21,43
48547,73,23,45
48628,81,27,51
48656,28,3,23
48716,60,17,40
48762,46,11,31
48800,38,7,27
48835,35,7,26
48914,79,23,48
48961,47,12,31
49036,75,26,46
49092,56,15,37
49153,61,19,39
49208,55,14,34
49266,58,17,39
49301,35,5,27
49397,96,33,56
49426,29,4,24
49496,70,23,44
49560,64,19,40
49587,27,4,22
49706,119,41,69
49754,48,11,32
49803,49,12,35
49848,45,10,30
49870,22,2,20
49925,55,16,37
49971,46,11,31
50026,55,16,39
50063,37,8,28
50137,74,22,43
50193,56,16,36
50259,66,21,42
50296,37,8,26
50365,69,22,44
50405,40,10,28
50480,75,25,47
50585,105,37,64
50668,83,26,50
50691,23,2,20
50773,82,29,52
50810,37,8,29
50854,44,9,31
50911,57,15,38
50999,88,29,53
51050,51,13,33
51105,55,16,36
51137,32,5,25
51200,63,19,41
51252,52,12,34
51281,29,4,24
51346,65,20,42
51400,54,14,39
51448,48,12,32
51490,42,8,29
51550,60,18,40
51628,78,25,46
51716,88,30,55
51762,46,10,30
51815,53,16,36
51867,52,13,34
51940,73,25,47
51984,44,11,32
52170,186,71,103
52230,60,18,40
52338,108,40,61
52369,31,6,25
52466,97,36,58
52511,45,11,31
52582,71,23,44
52631,49,14,35
52759,128,48,72
52793,34,7,27
52825,32,5,26
52891,66,22,40
52946,55,16,37
52987,41,8,28
53100,113,44,66
53179,79,27,49
53220,41,11,29
53335,115,44,65
53431,96,35,57
53478,47,13,31
53631,153,58,84
53671,40,9,29
53733,62,18,39
53845,112,37,64
53945,100,34,60
53981,36,8,28
54034,53,13,35
54073,39,8,28
54142,69,23,44
54212,70,22,47
54246,34,7,26
54302,56,16,37
54407,105,37,61
54473,66,21,40
54503,30,4,24
54632,129,49,74
54709,77,24,44
54752,43,11,30
54807,55,17,36
54847,40,9,28
54898,51,14,33
55002,104,36,60
55066,64,20,40
55103,37,7,27
55149,46,12,33
55214,65,20,42
55264,50,13,33
55334,70,24,44
55390,56,15,36
55459,69,22,45
55499,40,10,29
55545,46,13,33
55626,81,26,47
55660,34,5,25
55697,37,8,28
55775,78,26,48
55877,102,33,59
55959,82,26,49
56015,56,17,36
56082,67,22,43
56147,65,20,41
56186,39,9,29
56217,31,5,25
56262,45,11,32
56397,135,51,78
56464,67,21,42
56614,150,57,85
56717,103,37,62
56804,87,31,52
56897,93,32,56
56958,61,17,40
57046,88,31,52
57077,31,5,23
57138,61,20,40
57197,59,17,37
57277,80,29,50
57351,74,21,43
57404,53,14,37
57442,38,8,27
57482,40,10,30
57538,56,14,37
57575,37,7,28
57628,53,15,35
57669,41,10,30
57747,78,26,48
57854,107,38,61
57894,40,9,28
57947,53,15,37
58011,64,19,42
58077,66,19,41
58119,42,10,31
58216,97,34,57
58267,51,13,36
58312,45,11,32
58369,57,17,38
58427,58,17,38
58459,32,5,25
58508,49,13,33
58588,80,27,51
58640,52,13,34
58684,44,10,30
58743,59,17,38
58776,33,5,25
58867,91,31,53
58956,89,28,53
59042,86,32,52
59112,70,23,44
59183,71,23,45
59285,102,35,59
59373,88,30,50
59484,111,40,63
59566,82,28,51
59595,29,4,25
59658,63,18,41
59831,173,66,96
59916,85,31,53
59953,37,7,29
59981,28,4,22
60054,73,24,46
60102,48,12,31
60176,74,24,47
60209,33,5,23
60307,98,36,58
60373,66,20,42
60425,52,13,33
60471,46,12,32
60561,90,33,53
60597,36,7,25
60658,61,14,39
60708,50,15,33
60768,60,18,40
60838,70,23,45
60921,83,27,51
60976,55,15,38
61036,60,18,38
61121,85,29,52
61215,94,33,55
61257,42,9,32
61312,55,17,38
61444,132,50,73
61499,55,16,38
61598,99,37,58
61686,88,29,54
61720,34,6,25
61861,141,54,78
61922,61,18,38
62113,191,76,104
62157,44,11,31
62257,100,34,58
62346,89,31,53
62446,100,34,57
62506,60,16,37
62579,73,23,45
62620,41,10,30
62682,62,19,40
62725,43,10,30
62762,37,8,28
62817,55,17,37
62843,26,2,23
62917,74,24,46
62993,76,26,45
63059,66,20,42
63161,102,34,60
63207,46,12,33
63240,33,6,26
63321,81,27,49
63401,80,29,48
63497,96,34,57
63529,32,4,26
63594,65,20,39
63673,79,25,49
63717,44,11,32
63809,92,32,56
63856,47,11,32
63924,68,21,45
63975,51,12,34
64038,63,17,41
64115,77,26,49
64153,38,9,29
64218,65,19,43
64294,76,26,49
64358,64,19,40
64498,140,49,76
64572,74,23,46
64620,48,13,33
64721,101,36,59
64762,41,10,30
64863,101,37,58
64933,70,20,44
64971,38,7,27
65094,123,42,70
65142,48,12,33
65185,43,10,32
65257,72,22,42
65294,37,9,28
65348,54,16,36
65382,34,6,27
65416,34,6,27
65505,89,29,52
65566,61,19,40
65632,66,22,44
65713,81,28,50
65809,96,34,57
65893,84,30,53
65971,78,25,47
66036,65,20,42
66138,102,36,62
66179,41,10,29
66264,85,27,48
66339,75,24,48
66438,99,37,58
66514,76,24,45
66583,69,21,41
66645,62,18,39
66697,52,13,33
66779,82,28,50
66982,203,79,110
67029,47,13,34
67095,66,19,43
67131,36,7,28
67166,35,7,28
67210,44,12,30
67251,41,10,29
67287,36,6,27
67327,40,8,29
67392,65,17,38
67484,92,29,53
67529,45,11,31
67591,62,18,41
67662,71,23,44
67692,30,5,23
67776,84,27,49
67839,63,18,37
67916,77,25,46
68040,124,44,68
68084,44,11,30
68135,51,14,34
68274,139,53,80
68356,82,29,52
68392,36,7,26
68448,56,17,38
68497,49,14,33
68569,72,25,45
68703,134,48,77
68748,45,10,31
68805,57,17,36
68885,80,28,52
68959,74,25,46
69049,90,33,55
69104,55,16,36
69147,43,11,30
69210,63,20,42
69233,23,1,21
69295,62,21,40
69338,43,10,32
69434,96,33,56
69573,139,54,78
69640,67,21,44
69725,85,27,51
69804,79,24,46
69862,58,17,37
69904,42,9,29
69955,51,15,36
70061,106,41,62
70140,79,27,48
70220,80,28,50
70247,27,4,22
70292,45,12,31
70324,32,5,25
70352,28,4,23
70422,70,24,44
70547,125,47,73
70653,106,40,60
70715,62,19,42
70769,54,16,36
70825,56,16,38
70917,92,30,54
70979,62,18,40
71031,52,14,33
71080,49,13,33
71154,74,23,46
71189,35,7,26
71323,134,50,73
71361,38,8,27
71390,29,4,25
